Date,Home Team,Score,Away Team
19-03-2023,Godoy Cruz,3 - 1,Belgrano Cordoba
03-04-2023,Belgrano Cordoba,0 - 0,Sarmiento Junin
08-04-2023,Union Santa Fe,0 - 3,Belgrano Cordoba
12-04-2023,Belgrano Cordoba,2 - 0,Huracan
16-04-2023,Gimnasia LP,0 - 2,Belgrano Cordoba
22-04-2023,Belgrano Cordoba,1 - 0,Newells
30-04-2023,CA Independiente,2 - 0,Belgrano Cordoba
06-05-2023,Belgrano Cordoba,1 - 0,CA Tucuman
14-05-2023,Boca Juniors,2 - 0,Belgrano Cordoba
21-05-2023,Belgrano Cordoba,1 - 1,Talleres Cord.
27-05-2023,Platense,1 - 0,Belgrano Cordoba
03-06-2023,Belgrano Cordoba,2 - 0,Velez Sarsfield
13-06-2023,Defensa y Justicia,2 - 0,Belgrano Cordoba
26-06-2023,Belgrano Cordoba,3 - 1,Banfield
02-07-2023,Instituto Cordoba,1 - 0,Belgrano Cordoba
07-07-2023,Belgrano Cordoba,0 - 2,Barracas Central
10-07-2023,Colon,0 - 0,Belgrano Cordoba
16-07-2023,Belgrano Cordoba,? - ?,San Lorenzo
30-01-2023,Boca Juniors,1 - 0,CA Tucuman
05-02-2023,Boca Juniors,0 - 0,CA Central Córdoba de Santiago del Estero
12-02-2023,Talleres Cord.,2 - 1,Boca Juniors
19-02-2023,Boca Juniors,3 - 1,Platense
26-02-2023,Velez Sarsfield,1 - 2,Boca Juniors
07-03-2023,Boca Juniors,0 - 0,Defensa y Justicia
13-03-2023,Banfield,1 - 0,Boca Juniors
19-03-2023,Boca Juniors,2 - 3,Instituto Cordoba
01-04-2023,Barracas Central,0 - 3,Boca Juniors
10-04-2023,Boca Juniors,1 - 2,Colon
12-04-2023,San Lorenzo,1 - 0,Boca Juniors
15-04-2023,Boca Juniors,0 - 1,Estudiantes LP
23-04-2023,Rosario Central,2 - 2,Boca Juniors
30-04-2023,Boca Juniors,3 - 1,Racing Club
07-05-2023,River Plate,1 - 0,Boca Juniors
14-05-2023,Boca Juniors,2 - 0,Belgrano Cordoba
20-05-2023,Argentinos Jrs,0 - 1,Boca Juniors
28-05-2023,Boca Juniors,1 - 0,Tigre
02-06-2023,Arsenal de Sarandi,1 - 0,Boca Juniors
10-06-2023,Boca Juniors,1 - 1,Lanus
23-06-2023,Godoy Cruz,4 - 0,Boca Juniors
03-07-2023,Boca Juniors,2 - 0,Sarmiento Junin
06-07-2023,Union Santa Fe,0 - 0,Boca Juniors
10-07-2023,Boca Juniors,1 - 0,Huracan
16-07-2023,Gimnasia LP,? - ?,Boca Juniors
29-01-2023,CA Central Córdoba de Santiago del Estero,0 - 2,River Plate
05-02-2023,Boca Juniors,0 - 0,CA Central Córdoba de Santiago del Estero
11-02-2023,CA Central Córdoba de Santiago del Estero,0 - 1,Belgrano Cordoba
20-02-2023,Talleres Cord.,2 - 0,CA Central Córdoba de Santiago del Estero
28-02-2023,CA Central Córdoba de Santiago del Estero,1 - 0,Argentinos Jrs
04-03-2023,Platense,1 - 1,CA Central Córdoba de Santiago del Estero
12-03-2023,CA Central Córdoba de Santiago del Estero,2 - 0,Tigre
22-03-2023,Velez Sarsfield,4 - 0,CA Central Córdoba de Santiago del Estero
04-04-2023,CA Central Córdoba de Santiago del Estero,1 - 0,Arsenal de Sarandi
08-04-2023,Defensa y Justicia,1 - 2,CA Central Córdoba de Santiago del Estero
12-04-2023,CA Central Córdoba de Santiago del Estero,1 - 1,Lanus
17-04-2023,Banfield,1 - 0,CA Central Córdoba de Santiago del Estero
22-04-2023,CA Central Córdoba de Santiago del Estero,0 - 2,Godoy Cruz
29-04-2023,Instituto Cordoba,0 - 2,CA Central Córdoba de Santiago del Estero
09-05-2023,CA Central Córdoba de Santiago del Estero,0 - 1,Sarmiento Junin
15-05-2023,Barracas Central,2 - 2,CA Central Córdoba de Santiago del Estero
19-05-2023,CA Central Córdoba de Santiago del Estero,0 - 1,Union Santa Fe
29-05-2023,Colon,2 - 2,CA Central Córdoba de Santiago del Estero
03-06-2023,CA Central Córdoba de Santiago del Estero,2 - 0,Huracan
12-06-2023,San Lorenzo,0 - 0,CA Central Córdoba de Santiago del Estero
22-06-2023,CA Central Córdoba de Santiago del Estero,0 - 0,Gimnasia LP
01-07-2023,Estudiantes LP,1 - 1,CA Central Córdoba de Santiago del Estero
08-07-2023,CA Central Córdoba de Santiago del Estero,2 - 0,Newells
11-07-2023,Rosario Central,2 - 0,CA Central Córdoba de Santiago del Estero
17-07-2023,CA Central Córdoba de Santiago del Estero,? - ?,CA Independiente
27-01-2023,Talleres Cord.,0 - 1,CA Independiente
05-02-2023,CA Independiente,1 - 2,Platense
12-02-2023,Velez Sarsfield,0 - 0,CA Independiente
20-02-2023,CA Independiente,0 - 2,Defensa y Justicia
27-02-2023,Banfield,0 - 0,CA Independiente
05-03-2023,CA Independiente,2 - 2,Instituto Cordoba
10-03-2023,Barracas Central,1 - 1,CA Independiente
18-03-2023,CA Independiente,2 - 2,Colon
02-04-2023,San Lorenzo,0 - 0,CA Independiente
09-04-2023,CA Independiente,1 - 2,Estudiantes LP
13-04-2023,Rosario Central,1 - 0,CA Independiente
16-04-2023,CA Independiente,1 - 1,Racing Club
23-04-2023,River Plate,2 - 0,CA Independiente
30-04-2023,CA Independiente,2 - 0,Belgrano Cordoba
06-05-2023,Argentinos Jrs,2 - 2,CA Independiente
13-05-2023,CA Independiente,2 - 1,Tigre
19-05-2023,Arsenal de Sarandi,2 - 1,CA Independiente
27-05-2023,CA Independiente,1 - 1,Lanus
04-06-2023,Godoy Cruz,2 - 1,CA Independiente
09-06-2023,CA Independiente,2 - 0,Sarmiento Junin
24-06-2023,Union Santa Fe,3 - 0,CA Independiente
02-07-2023,CA Independiente,1 - 0,Huracan
07-07-2023,Gimnasia LP,1 - 1,CA Independiente
11-07-2023,CA Independiente,0 - 2,Newells
17-07-2023,CA Central Córdoba de Santiago del Estero,? - ?,CA Independiente
30-01-2023,Boca Juniors,1 - 0,CA Tucuman
06-02-2023,CA Tucuman,0 - 2,Talleres Cord.
11-02-2023,Platense,1 - 1,CA Tucuman
21-02-2023,CA Tucuman,1 - 1,Velez Sarsfield
26-02-2023,Defensa y Justicia,3 - 0,CA Tucuman
05-03-2023,CA Tucuman,1 - 0,Banfield
11-03-2023,Instituto Cordoba,1 - 1,CA Tucuman
19-03-2023,CA Tucuman,1 - 1,Barracas Central
02-04-2023,Colon,0 - 0,CA Tucuman
08-04-2023,CA Tucuman,1 - 3,San Lorenzo
13-04-2023,Estudiantes LP,0 - 0,CA Tucuman
18-04-2023,CA Tucuman,2 - 2,Rosario Central
24-04-2023,Racing Club,1 - 3,CA Tucuman
29-04-2023,CA Tucuman,1 - 1,River Plate
06-05-2023,Belgrano Cordoba,1 - 0,CA Tucuman
13-05-2023,CA Tucuman,1 - 2,Argentinos Jrs
21-05-2023,Tigre,0 - 0,CA Tucuman
27-05-2023,CA Tucuman,1 - 0,Arsenal de Sarandi
05-06-2023,Lanus,2 - 1,CA Tucuman
13-06-2023,CA Tucuman,2 - 1,Godoy Cruz
25-06-2023,Sarmiento Junin,4 - 1,CA Tucuman
01-07-2023,CA Tucuman,1 - 0,Union Santa Fe
07-07-2023,Huracan,0 - 1,CA Tucuman
12-07-2023,CA Tucuman,2 - 0,Gimnasia LP
17-07-2023,Newells,? - ?,CA Tucuman
28-01-2023,Colon,1 - 2,Lanus
06-02-2023,Godoy Cruz,1 - 0,Colon
11-02-2023,Colon,0 - 2,Sarmiento Junin
19-02-2023,Union Santa Fe,1 - 1,Colon
26-02-2023,Colon,1 - 1,Huracan
04-03-2023,Gimnasia LP,0 - 0,Colon
14-03-2023,Colon,1 - 1,Newells
18-03-2023,CA Independiente,2 - 2,Colon
02-04-2023,Colon,0 - 0,CA Tucuman
10-04-2023,Boca Juniors,1 - 2,Colon
13-04-2023,Colon,2 - 2,Talleres Cord.
17-04-2023,Platense,0 - 0,Colon
21-04-2023,Colon,2 - 1,Velez Sarsfield
30-04-2023,Defensa y Justicia,2 - 0,Colon
06-05-2023,Colon,2 - 0,Banfield
13-05-2023,Instituto Cordoba,1 - 0,Colon
21-05-2023,Colon,1 - 1,Barracas Central
29-05-2023,Colon,2 - 2,CA Central Córdoba de Santiago del Estero
04-06-2023,San Lorenzo,0 - 0,Colon
13-06-2023,Colon,1 - 0,Estudiantes LP
25-06-2023,Rosario Central,1 - 1,Colon
02-07-2023,Colon,0 - 4,Racing Club
06-07-2023,River Plate,2 - 0,Colon
10-07-2023,Colon,0 - 0,Belgrano Cordoba
17-07-2023,Argentinos Jrs,? - ?,Colon
28-01-2023,Defensa y Justicia,2 - 4,Huracan
06-02-2023,Gimnasia LP,0 - 2,Defensa y Justicia
11-02-2023,Defensa y Justicia,1 - 0,Newells
20-02-2023,CA Independiente,0 - 2,Defensa y Justicia
26-02-2023,Defensa y Justicia,3 - 0,CA Tucuman
07-03-2023,Boca Juniors,0 - 0,Defensa y Justicia
11-03-2023,Defensa y Justicia,1 - 1,Talleres Cord.
18-03-2023,Platense,1 - 0,Defensa y Justicia
30-03-2023,Defensa y Justicia,0 - 0,Velez Sarsfield
08-04-2023,Defensa y Justicia,1 - 2,CA Central Córdoba de Santiago del Estero
12-04-2023,Banfield,0 - 3,Defensa y Justicia
