Title,Author,Narrator,Length,Release Date,Language,Regular Price,Web Page
51. The 5AM Club,Robin Sharma,Adam Verner,11 hrs and 4 mins,2018-12-04,English,40.01,3
52. Sapiens,Yuval Noah Harari,Derek Perkins,15 hrs and 18 mins,2017-09-13,English,45.62,3
53. The Man from St. Petersburg,Ken Follett,Richard Armitage,12 hrs and 40 mins,2021-02-09,English,39.48,3
54. The Creative Act,Rick Rubin,Rick Rubin,5 hrs and 45 mins,2023-01-17,English,39.48,3
55. Project Hail Mary,Andy Weir,Ray Porter,16 hrs and 10 mins,2021-05-04,English,37.53,3
56. The Untethered Soul,Michael A. Singer,Peter Berkrot,6 hrs and 11 mins,2011-12-12,English,30.69,3
57. Born a Crime,Trevor Noah,Trevor Noah,8 hrs and 44 mins,2016-11-15,English,31.27,3
"58. Girl, Forgotten",Karin Slaughter,Kathleen Early,15 hrs and 45 mins,2022-08-23,English,45.58,3
"59. Harry Potter and the Deathly Hallows, Book 7",J.K. Rowling,Jim Dale,21 hrs and 36 mins,2015-11-20,English,58.99,3
60. The Real Anthony Fauci,Robert F. Kennedy Jr.,Bruce Wagner,27 hrs and 20 mins,2021-11-16,English,37.53,3
61. Sea of Tranquility,Emily St. John Mandel,"John Lee, Dylan Moore, Arthur Morey, Kirsten Potter",5 hrs and 47 mins,2022-04-05,English,31.44,4
62. The 7 Habits of Highly Effective People,Stephen R. Covey,Stephen R. Covey,13 hrs and 4 mins,2003-12-28,English,35.47,4
63. Happy Place,Emily Henry,Julia Whelan,11 hrs and 3 mins,2023-04-25,English,39.48,4
64. 8 Rules of Love,Jay Shetty,Jay Shetty,10 hrs and 21 mins,2023-01-31,English,29.60,4
65. It Starts with Us,Colleen Hoover,"Colin Donnell, Olivia Song",8 hrs and 41 mins,2022-10-18,English,29.60,4
66. Too Late,Colleen Hoover,"Ryan Gray, Maxine Mitchell, Joe Arden",10 hrs and 19 mins,2023-06-27,English,43.80,4
67. The Dark Hours,Michael Connelly,"Titus Welliver, Christine Lakin",11 hrs and 4 mins,2021-11-09,English,40.01,4
