title,author,narrator,length,release_date,language,regular_price
Hunted,Suzanne Wright,Cat Doucette,14 hrs and 32 mins,2023-07-06,English,34.16
The Complete Poppy War Trilogy,R. F. Kuang,Emily Woo Zeller,66 hrs and 29 mins,2023-06-06,English,100.08
Shadow's Seduction,Kresley Cole,Robert Petkoff,7 hrs and 28 mins,2023-07-11,English,25.00
The Silmarillion,"J. R. R. Tolkien,Christopher Tolkien",Andy Serkis,19 hrs and 24 mins,2023-06-22,English,27.32
Shallow River,H. D. Carlton,"Jacob Morgan,Michelle Sparks",13 hrs and 2 mins,2023-07-05,English,31.27
Diablo: Book of Lorath,Matthew J. Kirby,Ralph Ineson,3 hrs and 43 mins,2023-06-12,English,26.28
That Sik Luv,Jescie Hall,"Joe Arden,Desiree Ketchum",14 hrs and 51 mins,2023-07-12,English,31.27
The Eighth Harmony,A. F. Kay,Travis Baldree,14 hrs and 33 mins,2023-07-10,English,31.27
On Our Best Behavior,Elise Loehnen,Elise Loehnen,11 hrs and 54 mins,2023-05-23,English,39.48
Never Finished,David Goggins,"David Goggins,Adam Skolnick,Jacqueline Gardner",11 hrs and 6 mins,2022-12-06,English,31.27
Fast Like a Girl,Dr. Mindy Pelz,Dr. Mindy Pelz,8 hrs and 13 mins,2022-12-27,English,26.30
Meet Me at the Lake,Carley Fortune,"A.J. Bridel,Carley Fortune",10 hrs and 2 mins,2023-05-02,English,31.49
"One Nation Under Blackmail, Vol. 2",Whitney Alyse Webb,Grace Noble,15 hrs and 50 mins,2023-06-10,English,31.27
Magic Tides & Magic Claims,Ilona Andrews,"Hillary Huber,Michael Glenn",12 hrs and 21 mins,2023-07-10,English,61.39
The Wishing Game,Meg Shaffer,"Rachel L. Jacobs,Paul Boehmer",10 hrs and 38 mins,2023-05-30,English,39.48
Scattered Minds,Gabor Maté MD,Daniel Maté,11 hrs and 22 mins,2023-07-04,English,40.27
Spare,Prince Harry The Duke of Sussex,Prince Harry The Duke of Sussex,15 hrs and 39 mins,2023-01-10,English,24.95
Dune,Frank Herbert,"Scott Brick,Orlagh Cassidy,Euan Morton,Simon Vance,Ilyana Kadushin,Byron Jennings,David R. Gordon,Jason Culp,Kent Broadhurst,Oliver Wyman,Patricia Kilgarriff,Scott Sowers",21 hrs and 2 mins,2006-12-31,English,53.29
Shift,Hugh Howey,Edoardo Ballerini,14 hrs and 35 mins,2023-03-28,English,45.58
Icebreaker,Hannah Grace,"Elizabeth Louise,Tim Paige",13 hrs and 23 mins,2022-11-23,English,29.60
Pageboy,Elliot Page,Elliot Page,8 hrs and 23 mins,2023-06-06,English,40.01
Cutting for Stone,Abraham Verghese,Sunil Malhotra,23 hrs and 54 mins,2009-02-03,English,57.02
Waybound,Will Wight,Travis Baldree,16 hrs and 13 mins,2023-06-06,English,37.53
Unfu*k Yourself,Gary John Bishop,Gary John Bishop,3 hrs and 24 mins,2017-08-01,English,24.29
Tremblez ! 10 histoires criminelles vraies et flippantes,McSkyz,McSkyz,7 hrs and 17 mins,2023-05-24,French,32.03
The 16 Undeniable Laws of Communication,John Maxwell,John Maxwell,8 hrs and 57 mins,2023-03-28,English,26.28
Awaken Your Multidimensional Soul,"Lee Harris,Dianna Edwards","Lee Harris,Dianna Edwards",6 hrs and 5 mins,2023-04-19,English,25.00
The Missus,E L James,"Dominic Thorburn,Jessica O'Hara-Baker",14 hrs and 24 mins,2023-06-20,English,43.86
Outlive,"Peter Attia MD,Bill Gifford - contributor",Peter Attia MD,17 hrs and 7 mins,2023-03-28,English,43.86
Woods of the Raven,Mary Calmes,Greg Tremblay,7 hrs and 39 mins,2023-06-22,English,25.00
Devil's Advocate,"T.B. Markinson,Miranda MacLeod",Angela Dawe,9 hrs and 43 mins,2023-06-21,English,25.00
Don't Let Her Stay,Nicola Sanders,Penelope Rawlins,8 hrs and 24 mins,2023-03-07,English,61.39
Ultra-Processed People,Chris van Tulleken,"Chris van Tulleken,Dr. Xand van Tulleken",11 hrs and 35 mins,2023-05-09,English,45.62
"Eat, Pray, Love",Elizabeth Gilbert,Elizabeth Gilbert,12 hrs and 49 mins,2006-01-01,English,39.48
The Art Thief,Michael Finkel,"Edoardo Ballerini,Michael Finkel",5 hrs and 39 mins,2023-06-27,English,39.48
Things We Hide from the Light,Lucy Score,"Lila Winters,Sebastian York",17 hrs and 36 mins,2023-02-21,English,31.27
Tell Me Everything,Minka Kelly,Minka Kelly,8 hrs and 40 mins,2023-05-02,English,23.67
Gone Girl,Gillian Flynn,"Julia Whelan,Kirby Heyborne",19 hrs and 57 mins,2012-06-05,English,42.11
The Grapes of Wrath,"John Steinbeck,Robert DeMott",Dylan Baker,21 hrs and 1 min,2011-06-15,English,52.63
Endurance,Alfred Lansing,Simon Prebble,10 hrs and 20 mins,2008-04-08,English,31.27
American Prometheus,"Kai Bird,Martin J. Sherwin",Jeff Cummings,26 hrs and 30 mins,2007-03-28,English,43.82
The Untethered Soul,Michael A. Singer,Peter Berkrot,6 hrs and 11 mins,2011-12-12,English,30.69
The Millionaire Real Estate Agent,"Gary Keller,Dave Jenks,Jay Papasan",Kyle Hebert,11 hrs and 4 mins,2007-11-06,English,51.76
Wool,Hugh Howey,Edoardo Ballerini,15 hrs,2023-03-07,English,45.58
Firefly Lane,Kristin Hannah,Susan Ericksen,17 hrs and 54 mins,2008-04-29,English,39.46
Losers: Part 1,Harley LaRoux,"Jaclyn Kelso,J. Tipstone",16 hrs and 1 min,2023-06-06,English,62.65
SPQR,Mary Beard,Phyllida Nash,18 hrs and 30 mins,2015-11-19,English,37.53
Murder in Manhattan,Verity Bright,Karen Cass,8 hrs and 49 mins,2023-06-29,English,25.00
Profit First,Mike Michalowicz,Mike Michalowicz,7 hrs and 52 mins,2023-07-11,English,35.09
Pretty Girls,Karin Slaughter,Kathleen Early,20 hrs,2015-09-29,English,32.38
The Power of Intention,Dr. Wayne W. Dyer,Dr. Wayne W. Dyer,4 hrs and 27 mins,2004-05-12,English,12.27
Powerless,Elsie Silver,"Teddy Hamilton,CJ Bloom",10 hrs and 25 mins,2023-02-07,English,31.27
The Sacred Mushroom and the Cross,John M. Allegro,Martyn Swain,10 hrs and 33 mins,2022-12-06,English,61.39
The Whispers,Ashley Audrain,Jill Winternitz,10 hrs and 17 mins,2023-06-06,English,31.49
The Quiet Tenant,Clémence Michallon,"Gilli Messer,Elena Rey,Valerie Rose Lohman,Amber Battaglia,Reba Buhr,Clémence Michallon,Jess Nahikian,Aure Nash,Milly Sanders,Sara Sheckells,Yu-Li Alice Shen",10 hrs and 44 mins,2023-06-20,English,35.09
