title,author,narrator,length,release_date,language,regular_price
De zéro à millionnaire,Nicolas Bérubé,Antoni Castonguay,4 hrs and 42 mins,2023-04-27,French,26.99
"Harry Potter and the Prisoner of Azkaban, Book 3",J.K. Rowling,Jim Dale,11 hrs and 49 mins,2015-11-20,English,38.99
Peace Spawner,Alvin Atwater,"Matt Hicks,Allie Piper",18 hrs and 8 mins,2023-07-06,English,31.27
Devious Obsession,S. Massery,"Teddy Hamilton,Desireé Ketchum",11 hrs and 14 mins,2023-06-29,English,31.27
Out of Your Mind,Alan Watts,Alan Watts,14 hrs and 22 mins,2015-10-02,English,65.83
"Harry Potter and the Prisoner of Azkaban, Book 3",J.K. Rowling,Jim Dale,11 hrs and 49 mins,2015-11-20,English,38.99
Peace Spawner,Alvin Atwater,"Matt Hicks,Allie Piper",18 hrs and 8 mins,2023-07-06,English,31.27
The Brothers Karamazov [Naxos AudioBooks Edition],"Constance Garnett - translator,Fyodor Dostoevsky",Constantine Gregory,37 hrs and 4 mins,2012-12-30,English,73.69
The Warrior Poet Way,John Lovell,"John Lovell,Rebekah Lovell",7 hrs and 46 mins,2023-07-11,English,35.09
Guérisons intérieures,Nicole Bordeleau,Nicole Bordeleau,3 hrs and 49 mins,2022-10-19,French,27.99
Horns of the Goddess,Dolores Cannon,"Moe Egan,Pam Tierney",13 hrs and 55 mins,2023-07-11,English,31.27
Fast. Feast. Repeat.,Gin Stephens,"Brittany Pressley,Gin Stephens,Greg Cooler",11 hrs and 27 mins,2020-06-16,English,31.97
The Tattooist of Auschwitz,Heather Morris,Richard Armitage,7 hrs and 25 mins,2018-09-04,English,31.44
The State of Affairs,Esther Perel,Esther Perel,11 hrs and 57 mins,2017-10-10,English,40.01
Double Pucked,Lauren Blakely,"Samantha Brentmoor,J.F. Harding,Robert Hatchet",8 hrs and 29 mins,2023-06-30,English,25.00
Devious Obsession,S. Massery,"Teddy Hamilton,Desireé Ketchum",11 hrs and 14 mins,2023-06-29,English,31.27
The Hitchhiker's Guide to the Galaxy,Douglas Adams,Stephen Fry,5 hrs and 51 mins,2005-04-28,English,26.32
The Madness of Crowds,Douglas Murray,Douglas Murray,11 hrs and 56 mins,2019-09-17,English,27.32
Finding Ultra,Rich Roll,Rich Roll,9 hrs and 44 mins,2018-03-13,English,30.67
Dao Destruction,Bruce Sentar,"Lewis Alexander,Rozelyn Rader",10 hrs and 12 mins,2023-06-21,English,31.27
How to Talk to Anyone,Leil Lowndes,"Joyce Bean,Leil Lowndes",8 hrs and 59 mins,2015-09-01,English,31.57
The Subtle Art of Not Giving a F*ck,Mark Manson,Roger Wayne,5 hrs and 17 mins,2016-09-13,English,31.44
Rich Dad Poor Dad,Robert T. Kiyosaki,Tim Wheeler,6 hrs and 9 mins,2012-06-15,English,31.57
A Court of Thorns and Roses,Sarah J. Maas,Jennifer Ikeda,16 hrs and 7 mins,2015-05-05,English,39.46
A Court of Thorns and Roses,Sarah J. Maas,Jennifer Ikeda,16 hrs and 7 mins,2015-05-05,English,39.46
The 7 Habits of Highly Effective People,Stephen R. Covey,Stephen R. Covey,13 hrs and 4 mins,2003-12-28,English,35.47
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,"Alma Cuervo,Julia Whelan,Robin Miles",12 hrs and 10 mins,2017-06-13,English,28.41
Giovanni's Room,James Baldwin,Dan Butler,6 hrs and 49 mins,2013-04-01,English,18.47
Fanatical Prospecting,Jeb Blount,"Jeb Blount,Jeremy Arthur",8 hrs and 21 mins,2016-06-28,English,25.00
Dopesick,Beth Macy,Beth Macy,10 hrs and 16 mins,2018-08-07,English,37.16
The Poisoner's Ring,Kelley Armstrong,Kate Handford,14 hrs and 52 mins,2023-05-23,English,39.07
Rouge karma,Jean-Christophe Grangé,Mathieu Buscatto,18 hrs and 8 mins,2023-06-07,French,36.23
Never Lie,Freida McFadden,Leslie Howard,7 hrs and 21 mins,2022-11-08,English,61.39
Homecoming,Kate Morton,Claire Foy,17 hrs and 38 mins,2023-04-13,English,23.91
The Heat Will Kill You First,Jeff Goodell,L. J. Ganser,10 hrs and 7 mins,2023-07-11,English,40.01
The Gift of Violence,"Matt Thornton,Peter Boghossian","Matt Thornton,Salome Thornton,Peter Boghossian",9 hrs and 27 mins,2023-06-15,English,25.00
Identity,Nora Roberts,January LaVoy,15 hrs and 4 mins,2023-05-23,English,39.07
The Kybalion,The Three Intiates,Mitch Horowitz,4 hrs and 6 mins,2013-10-16,English,5.25
The Montessori Toddler,Simone Davies,Susie Berneis,7 hrs and 22 mins,2019-10-22,English,43.85
Waking Up,Sam Harris,Sam Harris,5 hrs and 53 mins,2014-09-09,English,26.30
Trump: The Art of the Deal,"Donald J. Trump,Tony Schwartz","Kaleo Griffith,Donald J. Trump",9 hrs and 59 mins,2016-05-31,English,35.09
More Myself,"Alicia Keys,Michelle Burford","Alicia Keys,America Ferrera,Bono,Clive Davis,Craig Cook,DJ Walton,Jay-Z,Krucial,Leigh Blake,Michelle Obama,Oprah Winfrey,Swizz Beats,Terri Augelo",9 hrs and 55 mins,2020-03-31,English,35.08
Mere Christianity,C. S. Lewis,Julian Rhind-Tutt,7 hrs and 6 mins,2014-05-13,English,31.44
A Storm of Swords,George R.R. Martin,Roy Dotrice,47 hrs and 34 mins,2004-03-11,English,78.95
Defiant,Michael R. Miller,Peter Kenny,26 hrs and 30 mins,2023-07-13,English,37.53
Cribsheet,Emily Oster,Karissa Vacker,10 hrs and 36 mins,2019-04-23,English,35.09
Old Babes in the Wood,Margaret Atwood,"Margaret Atwood,Rebecca Lowman,Bahni Turpin,Dawn Harvey,Allan Corduner,Linda Lavin",8 hrs and 43 mins,2023-03-07,English,47.37
All the Demons Are Here,Jake Tapper,"Meg Price,Rob Shapiro",11 hrs and 10 mins,2023-07-11,English,40.01
The Spare Room,Andrea Bartz,Brittany Pressley,11 hrs and 39 mins,2023-06-20,English,39.48
A Game of Thrones,George R.R. Martin,Roy Dotrice,33 hrs and 46 mins,2003-12-09,English,70.18
Ruthless Heir,Sasha Leone,"Samantha Leatherwood,Michael Gallagher",14 hrs and 31 mins,2022-11-22,English,56.38
The 5 Second Rule,Mel Robbins,Mel Robbins,7 hrs and 35 mins,2017-02-22,English,25.00
"The 4-Hour Workweek: Escape 9-5, Live Anywhere, and Join the New Rich (Expanded and Updated)",Timothy Ferriss,Ray Porter,13 hrs and 1 min,2008-12-28,English,28.91
Hello Stranger,Katherine Center,Patti Murin,10 hrs and 39 mins,2023-07-11,English,31.97
The True Love Experiment,Christina Lauren,"Jonathan Cole,Cindy Kay",10 hrs and 52 mins,2023-05-16,English,29.60
Killers of the Flower Moon,David Grann,"Will Patton,Ann Marie Lee,Danny Campbell",9 hrs and 4 mins,2017-04-18,English,35.03
"Love, Theoretically",Ali Hazelwood,Thérèse Plummer,12 hrs and 33 mins,2023-06-13,English,39.48
The Well of Ascension,Brandon Sanderson,Michael Kramer,28 hrs and 56 mins,2008-12-28,English,53.29
Does It Hurt?,H. D. Carlton,"Troy Duran,Michelle Sparks",12 hrs and 7 mins,2023-03-20,English,31.27
Zero Days,Ruth Ware,Imogen Church,13 hrs and 57 mins,2023-06-20,English,35.52
Hunting Adeline,H. D. Carlton,"Teddy Hamilton,Michelle Sparks",17 hrs and 24 mins,2022-10-12,English,31.27
Your Money or Your Life,"Vicki Robin,Joe Dominguez,Mr. Money Mustache - foreword",Vicki Robin,11 hrs and 21 mins,2018-06-26,English,35.09
Storyworthy,"Matthew Dicks,Dan Kennedy - foreword","Matthew Dicks,John Glouchevitch",10 hrs and 1 min,2018-08-27,English,37.71
The Lie Maker,Linwood Barclay,"Johnathan McClain,Graham Halstead",10 hrs and 17 mins,2023-05-16,English,40.01
"One Nation Under Blackmail, Vol. 1",Whitney Alyse Webb,Grace Noble,18 hrs and 16 mins,2023-03-21,English,31.27
You Are the One You've Been Waiting For,Richard Schwartz PhD,"Martin LaGrande,Mike Berlak",6 hrs and 10 mins,2023-05-09,English,18.41
The Will of the Many,James Islington,Euan Morton,28 hrs and 14 mins,2023-05-23,English,62.60
21 Lessons for the 21st Century,Yuval Noah Harari,Derek Perkins,11 hrs and 41 mins,2018-09-05,English,45.62
Twisted Lies,Ana Huang,"Aiden Snow,Cindy Kay",16 hrs and 23 mins,2022-11-03,English,30.06
All the Sinners Bleed,S. A. Cosby,Adam Lazarre-White,13 hrs and 5 mins,2023-06-06,English,31.97
Le parloir,"Eric Thibault,Félix Séguin","Jean-François Porlier,Virgil Serban,Joëlle Thouin,Charles L'Abbé",5 hrs and 25 mins,2023-03-16,French,29.99
Trial of the Sun Queen,Nisha J Tuli,"Corvin King,Soneela Nankani",11 hrs and 53 mins,2023-06-20,English,56.38
The Slight Edge,Jeff Olson,Shane Hagedorn,9 hrs and 47 mins,2023-05-09,English,20.14
Brain Energy,Christopher M. Palmer MD,Christopher M. Palmer MD,12 hrs and 18 mins,2022-11-15,English,41.19
The Perfumist of Paris,Alka Joshi,Sneha Mathan,11 hrs and 44 mins,2023-03-28,English,40.01
Did You Hear About Kitty Karr?,Crystal Smith Paul,"Ariel Blake,Kineta Kunutu,Lynnette Nicholas",13 hrs and 10 mins,2023-05-02,English,31.97
Archer's Voice,Mia Sheridan,"Kris Koscheski,Emily Durante",11 hrs and 7 mins,2022-08-01,English,40.01
The Origins of You,Vienna Pharaon,Vienna Pharaon,8 hrs and 32 mins,2023-02-21,English,35.09
Eat to Beat Your Diet,William W Li MD,Peter Ganim,14 hrs and 8 mins,2023-03-21,English,45.74
Long Walk to Freedom,Nelson Mandela,Michael Boatman,27 hrs and 39 mins,2011-07-13,English,42.87
Soul Boom,Rainn Wilson,Rainn Wilson,9 hrs and 3 mins,2023-04-25,English,40.01
The Great Alone,Kristin Hannah,Julia Whelan,15 hrs and 3 mins,2018-02-06,English,39.07
The Setup,Dan Bilzerian,Jas Patrick,11 hrs and 29 mins,2023-06-13,English,31.27
The Origins of You,Vienna Pharaon,Vienna Pharaon,8 hrs and 32 mins,2023-02-21,English,35.09
The Perfumist of Paris,Alka Joshi,Sneha Mathan,11 hrs and 44 mins,2023-03-28,English,40.01
"Security Analysis, Seventh Edition","Benjamin Graham,David Dodd,Seth Klarman - editor",Scott R. Pollak,34 hrs and 53 mins,2023-06-27,English,37.53
The Ferryman,Justin Cronin,"Scott Brick,Suzanne Elise Freeman",19 hrs and 55 mins,2023-05-02,English,52.63
Soul Boom,Rainn Wilson,Rainn Wilson,9 hrs and 3 mins,2023-04-25,English,40.01
Anatomy of a Breakthrough,Adam Alter,Adam Alter,8 hrs and 52 mins,2023-05-16,English,23.67
The Girl You Left Behind,Jojo Moyes,"Clare Corbett,Penny Rawlins",13 hrs and 29 mins,2013-08-20,English,29.44
The Setup,Dan Bilzerian,Jas Patrick,11 hrs and 29 mins,2023-06-13,English,31.27
Mythos,Stephen Fry,Stephen Fry,15 hrs and 26 mins,2019-08-27,English,37.11
Romantic Comedy (Reese's Book Club),Curtis Sittenfeld,Kristen Sieh,9 hrs and 5 mins,2023-04-04,English,43.86
The Making of Another Major Motion Picture Masterpiece,Tom Hanks,"Tom Hanks,Peter Gerety,Natalie Morales,Ego Nwodim,Nasim Pedrad,Connor Ratliff,Holland Taylor,Rita Wilson,full cast",15 hrs and 57 mins,2023-05-09,English,48.25
How to Talk So Kids Will Listen & Listen So Kids Will Talk,"Adele Faber,Elaine Mazlish",Susan Bennett,8 hrs and 24 mins,2012-05-02,English,28.36
Pouvoir illimité - Le livre majeur sur la PNL (programmation neurolinguistique),Anthony Robbins,François Tavares,15 hrs and 45 mins,2019-09-12,French,34.89
The Inconvenient Indian,Thomas King,Lorne Cardinal,9 hrs and 56 mins,2018-05-15,English,31.27
Mockingjay,Suzanne Collins,Tatiana Maslany,11 hrs and 19 mins,2019-06-19,English,24.55
Healthy as F*ck,Oonagh Duncan,Oonagh Duncan,6 hrs and 18 mins,2019-09-17,English,35.09
Fair Play,Eve Rodsky,Eve Rodsky,7 hrs and 54 mins,2019-10-01,English,35.09
How to Be an Adult in Relationships,David Richo,David Richo,9 hrs and 20 mins,2018-03-06,English,35.09
When Breath Becomes Air,"Paul Kalanithi,Abraham Verghese - foreword","Sunil Malhotra,Cassandra Campbell",5 hrs and 35 mins,2016-01-12,English,35.09
An Evil Heart,Linda Castillo,Kathleen McInerney,9 hrs and 25 mins,2023-07-11,English,23.67
The Ocean at the End of the Lane,Neil Gaiman,Neil Gaiman,6 hrs and 22 mins,2013-06-18,English,31.44
Devolution,Max Brooks,"Judy Greer,Max Brooks,Jeff Daniels,Nathan Fillion,Mira Furlan,Terry Gross,Kimberly Guerrero,Kate Mulgrew,Kai Ryssdal,Steven Weber",9 hrs and 50 mins,2020-06-16,English,35.09
"Kids These Days: A Game Plan for (Re)Connecting with Those We Teach, Lead, & Love",Jody Carrington,Dr. Jody Carrington,7 hrs and 22 mins,2019-08-26,English,25.00
The Order of Time,Carlo Rovelli,Benedict Cumberbatch,4 hrs and 19 mins,2018-05-08,English,28.07
Along Came a Spider,James Patterson,Taye Diggs,11 hrs and 1 min,2018-12-04,English,35.72
Words of Radiance,Brandon Sanderson,"Michael Kramer,Kate Reading",48 hrs and 13 mins,2014-03-04,English,70.17
Last Argument of Kings,Joe Abercrombie,Steven Pacey,27 hrs and 3 mins,2010-06-03,English,34.16
Talk Like TED,Carmine Gallo,Carmine Gallo,7 hrs and 42 mins,2014-03-04,English,26.30
Vera Wong's Unsolicited Advice for Murderers,Jesse Q. Sutanto,Eunice Wong,10 hrs and 41 mins,2023-03-14,English,35.09
Pineapple Street,Jenny Jackson,Marin Ireland,8 hrs and 32 mins,2023-03-07,English,39.48
Drama Free,Nedra Glover Tawwab,Nedra Glover Tawwab,7 hrs and 36 mins,2023-02-28,English,35.09
The Return of the Gods,Jonathan Cahn,Lawrence Richardson,8 hrs and 34 mins,2022-09-06,English,25.43
The Steal Like an Artist Audio Trilogy,Austin Kleon,Austin Kleon,4 hrs and 32 mins,2022-07-15,English,25.67
Catching Fire,Suzanne Collins,Tatiana Maslany,11 hrs and 3 mins,2019-06-17,English,24.55
Life in the Fasting Lane,"Dr. Jason Fung,Eve Mayer,Megan Ramos","Brian Nishii,Courtney Patterson,Piper Goodeve",7 hrs and 36 mins,2020-04-07,English,35.73
Night Angel Nemesis,Brent Weeks,Simon Vance,32 hrs and 11 mins,2023-04-25,English,71.48
The Love Wager,Lynn Painter,"Kristen DiMercurio,Zachary Webber",7 hrs and 1 min,2023-03-14,English,30.70
Defiant,Michael R. Miller,Peter Kenny,26 hrs and 30 mins,2023-07-13,English,37.53
All the Skills: A Deck Building LitRPG 2,Honour Rae,Luke Daniels,16 hrs and 32 mins,2023-06-13,English,56.38
The Testaments,Margaret Atwood,"Ann Dowd,Bryce Dallas Howard,Mae Whitman,Derek Jacobi,Tantoo Cardinal,Margaret Atwood",13 hrs and 18 mins,2019-09-10,English,45.62
The Love Wager,Lynn Painter,"Kristen DiMercurio,Zachary Webber",7 hrs and 1 min,2023-03-14,English,30.70
All the Skills: A Deck Building LitRPG 2,Honour Rae,Luke Daniels,16 hrs and 32 mins,2023-06-13,English,56.38
The Testaments,Margaret Atwood,"Ann Dowd,Bryce Dallas Howard,Mae Whitman,Derek Jacobi,Tantoo Cardinal,Margaret Atwood",13 hrs and 18 mins,2019-09-10,English,45.62
Recovery,Russell Brand,Russell Brand,7 hrs and 50 mins,2017-10-03,English,26.30
Of Mice and Men,John Steinbeck,Gary Sinise,3 hrs and 11 mins,2011-04-13,English,21.05
Principles for Navigating Big Debt Crises,Ray Dalio,Stephen Graybill,16 hrs and 52 mins,2022-12-06,English,35.52
The Poisonwood Bible,Barbara Kingsolver,Dean Robertson,15 hrs and 34 mins,2008-06-06,English,39.46
I Don't Want to Talk About It,Terrence Real,Adam Verner,12 hrs and 28 mins,2011-12-05,English,41.67
In Cold Blood,Truman Capote,Scott Brick,14 hrs and 27 mins,2006-01-03,English,41.68
Red Notice,Bill Browder,Adam Grupper,14 hrs and 7 mins,2015-02-03,English,39.46
Blade Runner,Philip K. Dick,Scott Brick,9 hrs and 12 mins,2007-11-27,English,30.67
Waking the Tiger,"Peter A. Levine,Ann Frederick",Chris Sorensen,8 hrs and 51 mins,2016-10-04,English,26.30
Hatchet,Gary Paulsen,Peter Coyote,3 hrs and 42 mins,2003-10-31,English,21.93
The Righteous Mind,Jonathan Haidt,Jonathan Haidt,11 hrs and 1 min,2012-07-23,English,43.85
The Night Circus,Erin Morgenstern,Jim Dale,13 hrs and 40 mins,2011-09-13,English,39.48
The Creature from Jekyll Island,G. Edward Griffin,Mark Bramhall,24 hrs and 21 mins,2013-07-18,English,40.26
Son of a Trickster,Eden Robinson,Jason Ryll,9 hrs and 8 mins,2017-08-14,English,26.40
Parenting from the Inside Out,"Daniel J. Siegel,Mary Hartzell",Daniel J. Siegel,6 hrs and 44 mins,2013-12-26,English,31.57
Young Forever,Dr. Mark Hyman MD,Dr. Mark Hyman MD,9 hrs and 28 mins,2023-02-21,English,40.01
Built to Move,"Kelly Starrett,Juliet Starrett","Kelly Starrett,Juliet Starrett",8 hrs and 32 mins,2023-04-04,English,39.48
The Game,Neil Strauss,Neil Strauss,9 hrs and 27 mins,2009-06-16,English,40.01
Rocket Fuel,"Gino Wickman,Mark C. Winters",Mark C. Winters,4 hrs and 26 mins,2015-07-28,English,16.12
Snow Crash,Neal Stephenson,Jonathan Davis,17 hrs and 3 mins,2000-12-31,English,43.85
The Goldfinch,Donna Tartt,David Pittu,32 hrs and 24 mins,2013-10-22,English,50.02
Pachinko,Min Jin Lee,Allison Hiroto,18 hrs and 16 mins,2017-02-07,English,42.87
Why Does He Do That?,Lundy Bancroft,Peter Berkrot,13 hrs and 32 mins,2011-06-30,English,43.85
Parable of the Sower,Octavia E. Butler,Lynne Thigpen,12 hrs,2009-06-16,English,35.08
How to Survive History,Cody Cassidy,Dennis Boutsikaris,5 hrs and 45 mins,2023-06-13,English,30.70
The Agent's Edge,"Jordan Cohen,Mark Tabb - contributor","Jordan Cohen,Eric Simon,Matt Lionetti",5 hrs and 44 mins,2023-06-06,English,31.44
Two Weeks Notice,Amy Porterfield,Amy Porterfield,7 hrs and 38 mins,2023-02-21,English,28.06
A Clash of Kings,George R.R. Martin,Roy Dotrice,37 hrs and 12 mins,2003-12-28,English,78.95
The Paris Agent,Kelly Rimmer,"Elizabeth Knowelden,Fiona Hardingham,Emma Fenney",12 hrs and 15 mins,2023-07-11,English,40.01
This Is Marketing,Seth Godin,Seth Godin,7 hrs and 2 mins,2018-11-13,English,30.70
The Hunt for Red October,Tom Clancy,Scott Brick,18 hrs and 42 mins,2018-05-15,English,39.46
The Never-Ending Present,Michael Barclay,George Stroumboulopoulos,17 hrs and 55 mins,2018-07-10,English,37.53
Armada,Ernest Cline,Wil Wheaton,11 hrs and 50 mins,2015-07-14,English,42.11
And Then There Were None,Agatha Christie,Dan Stevens,6 hrs and 1 min,2013-09-10,English,31.44
Persepolis Rising,James S. A. Corey,Jefferson Mays,20 hrs and 34 mins,2017-12-05,English,48.24
Soul Hunter,Aaron Dembski-Bowden,Andrew Wincott,13 hrs and 4 mins,2019-08-31,English,40.99
The Menopause Reset,Dr. Mindy Pelz,Dr. Mindy Pelz,4 hrs and 52 mins,2023-06-20,English,19.29
Fire Weather,John Vaillant,Alan Carlson,14 hrs and 17 mins,2023-05-23,English,50.00
Be Your Future Self Now,Dr. Benjamin Hardy,Dr. Benjamin Hardy,4 hrs and 51 mins,2022-06-14,English,26.30
He Who Fights with Monsters 9,"Shirtaloon,Travis Deverell",Heath Miller,28 hrs and 3 mins,2023-04-18,English,75.18
When Things Fall Apart,Pema Chodron,Christy Meyer,5 hrs and 18 mins,2023-01-03,English,20.16
The Fine Print,Lauren Asher,"Desiree Ketchum,Aiden Snow",11 hrs and 8 mins,2023-01-17,English,26.30
Awaken Your Multidimensional Soul,"Lee Harris,Dianna Edwards","Lee Harris,Dianna Edwards",6 hrs and 5 mins,2023-04-19,English,25.00
The 16 Undeniable Laws of Communication,John Maxwell,John Maxwell,8 hrs and 57 mins,2023-03-28,English,26.28
Le Culte,"Camilla Läckberg,Henrik Fexeus,Susanne Juul - traductrice,Andreas Saint Bonnet - traducteur",Odile Cohen,22 hrs and 46 mins,2023-05-10,French,32.03
Homecoming,Kate Morton,Claire Foy,17 hrs and 38 mins,2023-04-13,English,23.91
Way of the Wolf,Jordan Belfort,Jordan Belfort,7 hrs and 28 mins,2017-09-26,English,26.30
The Minds of Billy Milligan,Daniel Keyes,Roger Wayne,15 hrs and 58 mins,2022-11-29,English,45.58
Solace House,Joy Ellis,Richard Armitage,11 hrs and 56 mins,2022-12-13,English,34.16
Crowned in Black,James Osiris Baldwin,"Justin Thomas James,Jeff Hays,Laurie Catherine Winkel,Soundbooth Theater",19 hrs and 49 mins,2023-06-29,English,31.27
Hang the Moon,Jeannette Walls,Jeannette Walls,12 hrs and 28 mins,2023-03-28,English,29.60
One Dark Window,Rachel Gillig,Lisa Cordileone,12 hrs and 44 mins,2022-09-27,English,45.74
The Advantage,Patrick Lencioni,Patrick Lencioni,5 hrs and 25 mins,2012-03-20,English,31.57
The Girl You Left Behind,Jojo Moyes,"Clare Corbett,Penny Rawlins",13 hrs and 29 mins,2013-08-20,English,29.44
Standing in the Shadows,Peter Robinson,Simon Slater,11 hrs and 19 mins,2023-05-16,English,45.53
Secretly Yours,Tessa Bailey,Callie Dalton,10 hrs and 49 mins,2023-02-07,English,40.01
Cibola Burn,James S. A. Corey,Jefferson Mays,20 hrs and 7 mins,2014-06-17,English,42.87
Secretly Yours,Tessa Bailey,Callie Dalton,10 hrs and 49 mins,2023-02-07,English,40.01
Total Recall,Arnold Schwarzenegger,"Stephen Lang,Arnold Schwarzenegger",23 hrs and 21 mins,2012-10-01,English,35.47
The Mark of Athena,Rick Riordan,Joshua Swanson,15 hrs and 8 mins,2012-10-02,English,39.48
Fifteen Dogs,André Alexis,André Alexis,6 hrs and 20 mins,2016-04-06,English,24.12
Wild,Cheryl Strayed,Bernadette Dunne,13 hrs and 2 mins,2012-03-20,English,42.11
Open,Andre Agassi,Erik Davies,18 hrs and 4 mins,2009-11-09,English,48.25
The Girl on the Train,Paula Hawkins,"Clare Corbett,Louise Brealey,India Fisher",10 hrs and 58 mins,2016-09-13,English,35.09
No Bad Kids,Janet Lansbury,Janet Lansbury,3 hrs and 29 mins,2014-10-13,English,18.74
The Easy Way to Control Alcohol,Allen Carr,Richard Mitchley,8 hrs and 6 mins,2013-09-30,English,27.32
The Hero with a Thousand Faces,Joseph Campbell,"Arthur Morey,John Lee,Susan Denaker",14 hrs and 37 mins,2016-02-03,English,37.71
Beyond the Thistles,Samantha Young,"Shane East,Stella Hunter",10 hrs and 12 mins,2023-06-16,English,31.27
The Unwanted Marriage,Catharina Maura,"John Lane,Angelina Rocca",11 hrs and 35 mins,2023-05-16,English,31.27
Essentialism,Greg McKeown,Greg McKeown,6 hrs and 14 mins,2014-04-15,English,30.70
Radical Candor: Fully Revised & Updated Edition,Kim Scott,Teri Schnaubelt,11 hrs and 55 mins,2019-10-01,English,31.97
Breaking Dawn,Stephenie Meyer,"Ilyana Kadushin,Matt Walters",20 hrs and 28 mins,2008-09-02,English,52.63
The Forgotten Garden,Kate Morton,Caroline Lee,20 hrs and 39 mins,2008-07-18,English,26.87
Paddle Your Own Canoe,Nick Offerman,Nick Offerman,10 hrs and 50 mins,2013-10-01,English,30.70
How Big Things Get Done,"Bent Flyvbjerg,Dan Gardner",Rob Shapiro,7 hrs and 16 mins,2023-02-07,English,35.09
Shantaram,Gregory David Roberts,Humphrey Bower,42 hrs and 59 mins,2013-12-10,English,65.13
The Lies of Locke Lamora,Scott Lynch,Michael Page,21 hrs and 59 mins,2011-01-21,English,34.16
The Ethical Slut,"Janet W. Hardy,Dossie Easton","Janet W. Hardy,Dossie Easton",10 hrs and 21 mins,2012-12-30,English,31.27
The Simple Path to Wealth,JL Collins,"JL Collins,Peter Adeney",6 hrs and 38 mins,2017-06-27,English,25.00
The Glass Castle,Jeannette Walls,Jeannette Walls,10 hrs and 25 mins,2010-09-28,English,30.69
Atlas Shrugged,Ayn Rand,Christopher Hurt,52 hrs and 20 mins,2007-01-18,English,61.37
Born to Run,Christopher McDougall,Fred Sanders,11 hrs and 6 mins,2009-05-05,English,35.05
A House in the Sky,"Amanda Lindhout,Sara Corbett",Amanda Lindhout,13 hrs and 17 mins,2013-09-10,English,35.08
Emotional Intelligence,Daniel Goleman,Barrett Whitener,13 hrs and 32 mins,2001-12-30,English,35.05
Tiny Beautiful Things (10th Anniversary Edition),Cheryl Strayed,"Cheryl Strayed,Steve Almond - introduction",10 hrs and 41 mins,2012-07-10,English,35.09
The Book Thief,Markus Zusak,Allan Corduner,13 hrs and 56 mins,2006-09-14,English,44.74
How to Stop Worrying and Start Living,Dale Carnegie,Andrew MacMillan,10 hrs and 8 mins,2007-01-30,English,43.82
One Hundred Years of Solitude,"Gabriel García Márquez,Gregory Rabassa - translator",John Lee,14 hrs and 4 mins,2014-01-28,English,40.00
The Code of the Extraordinary Mind,Vishen Lakhiani,Vishen Lakhiani,9 hrs,2016-05-10,English,26.30
JFK and the Unspeakable,James W. Douglass,Pete Larkin,22 hrs and 20 mins,2011-05-16,English,50.07
"Own the Day, Own Your Life",Aubrey Marcus,Aubrey Marcus,11 hrs and 5 mins,2018-04-17,English,40.01
Learn Spanish with Paul Noble for Beginners – Complete Course,Paul Noble,Paul Noble,13 hrs and 21 mins,2016-03-31,English,21.86
Napoleon the Great,Andrew Roberts,Stephen Thorne,37 hrs and 23 mins,2015-02-20,English,42.97
The Infinite Game,Simon Sinek,Simon Sinek,6 hrs and 56 mins,2019-10-15,English,30.70
The 50th Law,"50 Cent,Robert Greene","50 Cent,Robert Greene",8 hrs and 16 mins,2009-09-08,English,35.73
"Dungeon Core Online: Remastered Edition, Book 4","Jonathan Smidt,Portal Books",Travis Baldree,14 hrs and 30 mins,2023-06-23,English,31.27
Untamed,Glennon Doyle,Glennon Doyle,8 hrs and 22 mins,2020-03-10,English,39.48
The Infinite Game,Simon Sinek,Simon Sinek,6 hrs and 56 mins,2019-10-15,English,30.70
Untamed,Glennon Doyle,Glennon Doyle,8 hrs and 22 mins,2020-03-10,English,39.48
Divergent Mind,Jenara Nerenberg,Tegan Ashton Cohan,6 hrs and 37 mins,2020-03-24,English,31.44
In the Realm of Hungry Ghosts,Gabor Maté MD,Daniel Maté,16 hrs and 18 mins,2018-07-24,English,45.62
This Changes Everything,Naomi Klein,Ellen Archer,20 hrs and 44 mins,2014-09-16,English,43.85
While Time Remains,Yeonmi Park,Maureen Taylor,6 hrs and 28 mins,2023-02-14,English,23.67
Sex Talks,"Vanessa Marin,Xander Marin","Vanessa Marin,Xander Marin",8 hrs and 43 mins,2023-02-07,English,23.67
Then She Was Gone,Lisa Jewell,Helen Duff,10 hrs and 12 mins,2018-04-17,English,43.85
The Family Upstairs,Lisa Jewell,"Tamaryn Payne,Bea Holland,Dom Thornburn",9 hrs and 36 mins,2019-11-05,English,28.41
House of Beating Wings,Olivia Wildenstein,Olivia King,15 hrs and 30 mins,2023-01-31,English,31.27
Hello Beautiful,Ann Napolitano,Maura Tierney,15 hrs and 6 mins,2023-03-14,English,39.48
Manifest,Roxie Nafousi,Roxie Nafousi,4 hrs and 39 mins,2022-05-17,English,35.72
Weyward,Emilia Hart,"Aysha Kala,Helen Keeley,Nell Barlow",10 hrs and 51 mins,2023-03-07,English,31.97
Divine Rivals,Rebecca Ross,"Alex Wingfield,Rebecca Norfolk",10 hrs and 50 mins,2023-04-04,English,31.97
Letter to the American Church,Eric Metaxas,Eric Metaxas,5 hrs and 32 mins,2022-09-20,English,32.42
